Symbol,AnnualDividendsPerShare,DividendYield,PayoutRatio,RetentionRatio,DividendCount,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12
CSCO,1.56,3.14,15.02,0.8498,4.0,0,0,0,0,0,0,0,0,0,0,1,0
CSGS,1.12,2.09,22.24,0.7776000000000001,4.0,0,0,0,0,0,0,0,0,0,1,0,0
CSQ,1.23,8.27,18.302007434944237,0.8169799256505577,12.0,0,0,0,0,1,0,0,0,0,0,0,0
CSSEN,2.375,15.8,49.75244680851063,0.5024755319148937,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CSSEP,2.4372,62.98,49.75244680851063,0.5024755319148937,12.0,0,1,0,0,0,0,0,0,0,0,0,0
CSTR,0.44,2.36,11.87,0.8813,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CSWC,2.52,10.82,12.45,0.8755,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CSWCZ,1.0118,3.98,18.302007434944237,0.8169799256505577,2.0,0,0,0,0,1,0,0,0,0,0,0,0
CSWI,0.76,0.37,30.58,0.6942,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CSX,0.44,1.28,18.33,0.8167,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CTAS,5.4,0.92,42.81,0.5719,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CTSH,1.16,1.56,18.04,0.8196,4.0,0,0,0,0,0,0,0,0,0,1,0,0
CUBA,0.6945,24.8,18.302007434944237,0.8169799256505577,2.0,0,0,0,0,1,0,0,0,0,0,0,0
CULL,0.12,1.11,18.302007434944237,0.8169799256505577,1.0,0,0,0,0,1,0,0,0,0,0,0,0
CVBF,0.8,3.91,11.96,0.8804,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CVCY,0.48,2.17,9.56,0.9044,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CVGW,0.4,1.41,49.75244680851063,0.5024755319148937,3.0,0,1,0,0,0,0,0,0,0,0,0,0
CVLG,0.44,0.98,11.51,0.8849,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CVLY,0.68,2.69,8.85,0.9115,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CWBC,0.32,1.82,15.39,0.8461,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CWCO,0.38,1.09,24.525,0.75475,4.0,0,0,0,0,0,0,0,0,0,0,0,1
CXDO,0.02,0.49,60.52857142857143,0.3947142857142857,1.0,0,0,0,0,0,0,0,0,0,0,1,0
CYCCP,0.6,3.7,31.290625,0.6870937500000001,4.0,0,0,0,0,0,1,0,0,0,0,0,0
CZFS,1.96,3.05,15.01,0.8499,3.0,0,0,0,0,1,0,0,0,0,0,0,0
CZNC,1.12,4.94,12.67,0.8733,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CZWI,0.29,2.52,8.52,0.9148000000000001,1.0,0,0,0,0,1,0,0,0,0,0,0,0
DALN,0.64,15.09,49.75244680851063,0.5024755319148937,4.0,0,1,0,0,0,0,0,0,0,0,0,0
DCOM,1.0,3.79,9.07,0.9093,4.0,0,0,0,0,1,0,0,0,0,0,0,0
DCOMP,1.375,7.68,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
DGICA,0.68,4.89,44.84,0.5516,4.0,0,0,0,0,1,0,0,0,0,0,0,0
DGICB,0.61,4.07,55.52,0.4448,4.0,0,0,0,0,1,0,0,0,0,0,0,0
DHC,0.04,1.12,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
DHCNI,1.4063,9.38,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
DHCNL,1.5625,10.19,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
DHIL,6.0,3.6,11.48,0.8852,4.0,0,0,0,0,1,0,0,0,0,0,0,0
DMLP,3.3805,10.66,11.97,0.8803,4.0,0,0,0,1,0,0,0,0,0,0,0,0
DNUT,0.14,0.93,19.90727272727273,0.8009272727272727,4.0,0,0,1,0,0,0,0,0,0,0,0,0
DOX,1.74,1.98,19.58,0.8042,4.0,0,0,0,0,0,0,0,0,0,1,0,0
DSWL,0.2,7.87,27.281764705882352,0.7271823529411765,2.0,0,0,0,0,0,0,1,0,0,0,0,0
EA,0.76,0.55,37.98,0.6202000000000001,4.0,0,0,0,0,0,0,0,0,0,1,0,0
EBAY,1.0,2.29,8.64,0.9136,4.0,0,1,0,0,0,0,0,0,0,0,0,0
EBC,0.44,3.02,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
EBMT,0.56,3.77,9.97,0.9003,4.0,0,0,0,0,1,0,0,0,0,0,0,0
EBTC,0.92,2.78,9.54,0.9046000000000001,4.0,0,0,0,0,1,0,0,0,0,0,0,0
EFSC,1.0,2.25,8.08,0.9192,4.0,0,0,0,0,1,0,0,0,0,0,0,0
EGBN,1.8,5.9,7.72,0.9228000000000001,4.0,0,0,0,0,1,0,0,0,0,0,0,0
EMBC,0.6,3.21,15.43,0.8457,5.0,0,0,0,0,0,1,0,0,0,0,0,0
EML,0.44,2.1,24.94,0.7505999999999999,4.0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG,0.23,0.2,25.89,0.7411,4.0,0,0,0,0,0,1,0,0,0,0,0,0
ENTG,0.4,0.33,90.63,0.0937,4.0,0,0,0,0,0,0,1,0,0,0,0,0
EPSN,0.25,4.87,8.55,0.9145,4.0,0,0,0,1,0,0,0,0,0,0,0,0
EQIX,17.04,2.13,86.19,0.1381,4.0,0,0,0,0,0,0,0,0,1,0,0,0
ERIC,0.2445,3.97,30.765510204081632,0.6923448979591837,2.0,0,0,0,0,0,0,0,0,0,1,0,0
ERIE,4.76,1.44,43.03,0.5697,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ESCA,0.6,2.85,30.06,0.6994,3.0,0,1,0,0,0,0,0,0,0,0,0,0
ESEA,2.0,6.17,2.06,0.9794,4.0,0,1,0,0,0,0,0,0,0,0,0,0
ESGRO,1.75,7.21,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ESGRP,1.75,6.97,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ESQ,0.5,1.02,10.15,0.8985,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ESSA,0.6,3.02,10.47,0.8953,4.0,0,0,0,0,1,0,0,0,0,0,0,0
EVRG,2.57,5.03,17.25,0.8275,4.0,0,0,0,0,0,0,0,0,0,0,0,1
EWBC,1.92,2.69,8.06,0.9194,4.0,0,0,0,0,1,0,0,0,0,0,0,0
EXC,1.44,4.11,16.39,0.8361,4.0,0,0,0,0,0,0,0,0,0,0,0,1
EXPI,0.2,1.31,507.67,-4.0767,4.0,0,0,0,0,1,0,0,0,0,0,0,0
EXPO,1.04,1.2,43.7,0.563,4.0,0,1,0,0,0,0,0,0,0,0,0,0
FANG,13.48,8.63,8.87,0.9113,4.0,0,0,0,1,0,0,0,0,0,0,0,0
FAST,1.4,2.15,32.71,0.6729,5.0,0,1,0,0,0,0,0,0,0,0,0,0
FAT,0.56,8.95,49.75244680851063,0.5024755319148937,4.0,0,1,0,0,0,0,0,0,0,0,0,0
FATBB,0.56,10.37,49.75244680851063,0.5024755319148937,4.0,0,1,0,0,0,0,0,0,0,0,0,0
FATBP,2.0625,13.81,49.75244680851063,0.5024755319148937,12.0,0,1,0,0,0,0,0,0,0,0,0,0
FBIOP,2.3438,19.38,31.290625,0.6870937500000001,12.0,0,0,0,0,0,1,0,0,0,0,0,0
FBIZ,0.91,2.3,9.03,0.9097,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FBMS,0.96,3.3,10.75,0.8925,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FBNC,0.88,2.37,12.86,0.8714,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FCAP,1.08,4.0,6.84,0.9316,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FCBC,1.16,3.09,13.27,0.8673,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FCCO,0.56,2.65,12.87,0.8713,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FCFS,1.4,1.27,22.14,0.7786,4.0,0,1,0,0,0,0,0,0,0,0,0,0
FCNCA,6.56,0.46,1.85,0.9815,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FCNCO,1.4063,6.4,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FCNCP,1.3438,6.41,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FDBC,1.52,2.62,13.26,0.8674,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FDUS,2.8,14.37,9.02,0.9097999999999999,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FELE,0.9,0.94,23.21,0.7679,4.0,0,1,0,0,0,0,0,0,0,0,0,0
FFBC,0.92,3.88,8.4,0.916,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FFIC,0.88,5.29,14.86,0.8514,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FFNW,0.52,3.88,15.0,0.85,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FGBI,0.64,5.72,11.46,0.8854,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FGBIP,1.6875,8.84,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FGFPP,2.0,13.75,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FHB,1.04,4.59,10.9,0.891,4.0,0,0,0,0,1,0,0,0,0,0,0,0
FIBK,1.88,6.07,11.55,0.8845,4.0,0,0,0,0,1,0,0,0,0,0,0,0
